序号,所属流域_一级,二级,三级,四级,四级编码,行政区_县区代码,县区名称,市,面积,人口（万人）_城镇,农村,合计,国内地区生产总值  （亿元）_一产,二产,三产,合计,工业增加值（亿元）_火核电工业,国有及规模以上一般工业,规模以下工业,合计,火(核)电装机(万kW)_直流式,循环式,总耕地面积      （万亩）,有效灌溉面积   （万亩）,农田实灌面积（万亩）_水田,水浇地,菜田,总计,粮食产量（万吨）,林牧渔面积（万亩）_林地灌溉,园地灌溉,草场灌溉,人工鱼塘,牲畜(万头)_大牲畜,小牲畜,合计
152,东南诸河,浙南诸河,瓯江温溪以下,灵江及椒江左岸,G030230,331002,椒江区,台州市,100.9,10.52,5.37,15.89,3.36,58.89,85.66,147.91,12.89,19.33,18.77,50.99,136,0,8,3.893,2.9729,0.3475,0,3.3204,0.78,0.56,0.99,,0.012,0.1004,1.889,1.9894
153,东南诸河,浙南诸河,瓯江温溪以下,温黄平原,G030240,331002,椒江区,台州市,174.1,56.28,13.63,69.91,11.06,225.46,385.39,621.91,0.99,191.23,7.44,199.66,0,2.7,13.42,7.2659,5.981,0.6991,0,6.6801,2.41,0.11,0.34,,0.1154,0.0096,0.9445,0.9541
154,东南诸河,浙南诸河,瓯江温溪以下,永安溪,G030210,331003,黄岩区,台州市,4.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
155,东南诸河,浙南诸河,瓯江温溪以下,温黄平原,G030240,331003,黄岩区,台州市,933.5,45.5,24.63,70.13,22.46,288.31,300.73,611.5,4.3,143.11,115.76,263.17,0,35,24.06,12.8237,9.2755,1.645,0,10.9205,3.38,0.345,3.825,,0.19,0.1202,5.561,5.6812
156,东南诸河,浙南诸河,瓯江温溪以下,楠溪江,G030260,331003,黄岩区,台州市,50.2,0,1.07,1.07,0.58,0,0,0.58,0,0,0,0,,,0.59,0.5306,0.3174,0.1387,0,0.4561,0.37,0.03,0,,,,,0
157,东南诸河,浙南诸河,瓯江温溪以下,温黄平原,G030240,331004,路桥区,台州市,273,42.8,21.2,64,15.7,292.98,448.32,757,0.71,132.92,104.27,237.9,0,3.9,18.115,13.2518,12.4613,0.3967,0,12.858,3.66,0.55,0.46,,0.375,0.0205,3.531,3.5515
158,东南诸河,浙东诸河,浙东沿海诸河,象山港及三门湾,G020130,331022,三门县,台州市,1069.6,21.1,16.8,37.9,40.57,154.22,137.84,332.63,58.67,67.72,8.75,135.14,0.46,0,32.47,15.7995,8.9989,2.9318,0,11.9307,5.13,0.03,0.21,,0.029,0.28,20.4517,20.7317
159,东南诸河,浙南诸河,瓯江温溪以下,灵江及椒江左岸,G030230,331022,三门县,台州市,2.4,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,0,,,,,0
160,东南诸河,钱塘江,富春江坝址以下,曹娥江百官以上,G010240,331023,天台县,台州市,114.3,0,0.53,0.53,0.63,0.07,0.01,0.71,0,0,0.11,0.11,0,0,5,0.7453,0.3578,0.1124,0,0.4702,0.42,0.0194,0.2971,,0,0.037,1.1848,1.2218
161,东南诸河,浙东诸河,浙东沿海诸河,象山港及三门湾,G020130,331023,天台县,台州市,224.7,0.15,1.81,1.96,1.67,6.3,2.12,10.09,0,0.62,0.78,1.4,0,0,8,1.7306,0.8449,0.2655,0,1.1104,0.71,0.0194,0.2971,,0,0.1482,1.8512,1.9994
162,东南诸河,浙南诸河,瓯江温溪以下,始丰溪,G030220,331023,天台县,台州市,1087,25.85,18.66,44.51,15.52,133.03,191.73,340.28,0.35,77.51,35.3,113.16,0,2.25,27.66,25.2889,12.0521,3.7873,0,15.8394,6.33,0.1262,1.9309,,0.31,0.9633,29.0416,30.0049
163,东南诸河,浙南诸河,瓯江温溪以下,永安溪,G030210,331024,仙居县,台州市,1955.3,23.2,19.8,43,18.99,123.31,157.82,300.12,0.78,60.61,39.75,101.14,0,0.75,38.28,25.9476,17.9746,1.9434,0,19.918,8.23,0.87,1.348,0,0.3,0.3688,19.3214,19.6902
164,东南诸河,浙南诸河,瓯江温溪以下,始丰溪,G030220,331024,仙居县,台州市,36.7,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,0,,,,,0
165,东南诸河,浙南诸河,瓯江温溪以下,温黄平原,G030240,331081,温岭市,台州市,638.2,94.4,40.78,135.18,88.96,553.74,635.44,1278.14,0.37,234.98,194.91,430.26,0,4.5,48.16,35.4275,27.4747,4.2072,0,31.6819,10.78,0.09,9.8,0,0.7623,0.1759,24.4895,24.6654
166,东南诸河,浙南诸河,瓯江温溪以下,玉环岛,G030250,331081,温岭市,台州市,197.8,0.7,6.42,7.12,5.25,15.73,7.64,28.62,0,4.74,3.23,7.97,0,0,3.11,2.7591,1.2929,0.198,0,1.4909,0.66,0,1.6,0,0.1017,0.0146,3.642,3.6566
167,东南诸河,浙东诸河,浙东沿海诸河,象山港及三门湾,G020130,331082,临海市,台州市,113.7,4.35,3.98,8.33,4.44,29.93,31.8,66.17,0,20.26,4.95,25.21,,,4.34,3.5135,2.3838,0.4794,0,2.8632,0.91,0.02,0.14,,0.038,0.048,3.904,3.952
168,东南诸河,浙南诸河,瓯江温溪以下,永安溪,G030210,331082,临海市,台州市,397.1,5.69,4.9,10.59,5.49,36.69,39.08,81.26,0,24.9,6.09,30.99,,,6.05,4.7173,3.2038,0.6444,0,3.8482,1.12,0.02,0.18,,0.0253,0.0721,7.9927,8.0648
169,东南诸河,浙南诸河,瓯江温溪以下,始丰溪,G030220,331082,临海市,台州市,247,7.68,6.71,14.39,7.53,50.31,53.48,111.32,0,34.08,8.34,42.42,,,9.07,6.43,4.4941,0.9038,0,5.3979,1.53,0.04,0.24,,0.0253,0.0961,10.9563,11.0524
170,东南诸河,浙南诸河,瓯江温溪以下,灵江及椒江左岸,G030230,331082,临海市,台州市,1381.2,40.12,36.5,76.62,41.01,273.98,293.18,608.17,0.4,185.15,45.41,230.96,0,6.2,41.12,25.0569,17.5791,3.5355,0,21.1146,8.18,0.08,1.01,,0.861,0.4923,58.3665,58.8588
171,东南诸河,浙南诸河,瓯江温溪以下,温黄平原,G030240,331082,临海市,台州市,32,0.76,0.71,1.47,0.78,5.25,5.58,11.61,0,3.57,0.87,4.44,,,0.99,0.9858,0.5969,0.1201,0,0.717,0.16,0.01,0.13,,0.0063,0.012,1.167,1.179
172,东南诸河,浙南诸河,瓯江温溪以下,玉环岛,G030250,331083,玉环市,台州市,378,47.9,17.3,65.2,45.29,391.03,295.28,731.6,10.88,271.42,80.34,362.64,0,411,15.85,6.2,3.3679,2.7521,0,6.12,1.23,0.19,2,0,0.615,0.0773,10.4375,10.5148
