水系,所属流域_一级,二级,三级,四级,四级编码,行政区_县区代码,县区名称,市,面积,人口（万人）_城镇,农村,合计,国内地区生产总值  （亿元）_一产,二产,三产,合计,工业增加值（亿元）_火核电工业,国有及规模以上一般工业,规模以下工业,合计,火(核)电装机(万kW)_直流式,循环式,总耕地面积      （万亩）,有效灌溉面积   （万亩）,农田实灌面积（万亩）_水田,旱地,水浇地,总计,粮食产量（万吨）,林牧渔面积（万亩）_林地灌溉,园地灌溉,草场灌溉,人工鱼塘,牲畜(万头)_大牲畜,小牲畜,合计
 ,东南诸河,浙东诸河,浙东沿海诸河,姚江,G020110,330203,海曙区,宁波市,47,0,0.24,0.24,0.14,0,0,0.14,0,0,0,0,0,0,0.3,0.3,0.1662,0.0155,,0.1817,0.0897,0.015,0,0,0,0,0,0
 ,东南诸河,浙东诸河,浙东沿海诸河,奉化江及甬江干流,G020120,330203,海曙区,宁波市,547.7,96.3,10.66,106.96,18.67,465.04,1266.34,1750.05,0,400.33,0,400.33,0,10.1,14.78,14.77,12.0708,1.3572,,13.428,6.6453,0.939,0.9165,0,0.2595,0.0723,2.9649,3.0372
 ,东南诸河,浙东诸河,浙东沿海诸河,奉化江及甬江干流,G020120,330205,江北区,宁波市,207.6,44.9,6.9,51.8,8.75,279.23,724.96,1012.94,0,198.47,36.65,235.12,0,0,6,5.99,5.82,0.17,,5.99,2.723,0.636,0.996,0,0.02,0.4416,1.8125,2.2541
 ,东南诸河,浙东诸河,浙东沿海诸河,奉化江及甬江干流,G020120,330206,北仑区,宁波市,399.9,57,9.8,66.8,5.67,969.13,1138.7,2113.5,24.18,801.51,28.92,854.61,0,590,6.056,5.938,4.134,1.507,,5.641,0.517,0.206,0.6435,0,0.0198,0.036,2.7091,2.7451
 ,东南诸河,浙东诸河,浙东沿海诸河,象山港及三门湾,G020130,330206,北仑区,宁波市,199.1,15.8,7.8,23.6,3.78,305.8,611.96,921.54,8.29,316.41,13.6,338.3,0,75,4.294,4.182,2.713,1.116,,3.829,0.733,0.289,0.9765,0,0.0147,0.0292,1.8061,1.8353
 ,东南诸河,浙东诸河,浙东沿海诸河,奉化江及甬江干流,G020120,330211,镇海区,宁波市,245.7,49.5,3.7,53.2,7.67,968.07,536.34,1512.08,11.26,881.16,0,892.42,0,268.2,5.65,5.55,2.62,2.62,,5.24,2.612,0.06,0.585,0,0.0435,0.1234,3.8923,4.0157
 ,东南诸河,浙东诸河,浙东沿海诸河,奉化江及甬江干流,G020120,330212,鄞州区,宁波市,560.3,122.6,18.4,141,22.6,718.32,1995.65,2736.57,1.81,608.2,0,610.01,0,14,14.62,14.62,14.0326,0.14,,14.1726,7.104,0.45,0.99,0,0.2745,0.0501,1.061,1.1111
 ,东南诸河,浙东诸河,浙东沿海诸河,象山港及三门湾,G020130,330212,鄞州区,宁波市,253.7,22.2,7.9,30.1,11.31,125.74,239.06,376.11,0,97.05,0,97.05,0,0,4.42,4.42,4.081,0.2271,,4.3081,2.288,0.225,0.847,0,0.243,0.0407,0.6763,0.717
 ,东南诸河,浙东诸河,浙东沿海诸河,奉化江及甬江干流,G020120,330213,奉化区,宁波市,999.6,29.2,15.5,44.7,21.41,486,332.17,839.58,0,462.5,0,462.5,0,0,16.1,14.74,12.604,1.1149,,13.7189,4.35,6.615,4.388,0,0.108,0.0689,11.851,11.9199
 ,东南诸河,浙东诸河,浙东沿海诸河,象山港及三门湾,G020130,330213,奉化区,宁波市,268.4,9,5.5,14.5,17.51,162.06,83.04,262.61,0,115.64,0,115.64,0,0,4,3.85,3.302,0.492,,3.794,2.335,2.835,2.362,0,0,0.0296,7.9007,7.9303
 ,东南诸河,浙东诸河,浙东沿海诸河,象山港及三门湾,G020130,330225,象山县,宁波市,1382,37.4,20.5,57.9,156.39,335.49,451.11,942.99,14.32,242.79,0,257.11,0,243.75,21.09,20.28,18.062,2.14,,20.202,8.63,1.422,3.81,0,1.7295,0.1834,27.4464,27.6298
 ,东南诸河,浙东诸河,浙东沿海诸河,奉化江及甬江干流,G020120,330226,宁海县,宁波市,2.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0
 ,东南诸河,浙东诸河,浙东沿海诸河,象山港及三门湾,G020130,330226,宁海县,宁波市,1840.2,47.3,24,71.3,57.27,505.08,505.7,1068.05,36.07,413.75,0,449.82,0,454.5,32.11,27.38,24.55,0.4609,,25.0109,10.45,2.43,2.385,0,1.1295,0.4965,20.5787,21.0752
 ,东南诸河,钱塘江,富春江坝址以下,曹娥江百官以上,G010240,330281,余姚市,宁波市,106.7,0,0.6,0.6,2.2463,0,0,2.2463,0,0,0,0,0,0,1.35,1.35,0.284,0.192,,0.476,0.1916,0.7,0.47,0,0,0.1524,0.6858,0.8382
 ,东南诸河,浙东诸河,浙东沿海诸河,姚江,G020110,330281,余姚市,宁波市,1236.7,104.9,20.4,125.3,47.9445,973.46,654.89,1676.2945,3.64,908.53,0,912.17,0,87.16,38.12,38.12,25.42,10.852,,36.272,17.1932,4.35,1.804,0,2.4495,0.3077,27.4965,27.8042
 ,东南诸河,浙东诸河,浙东沿海诸河,奉化江及甬江干流,G020120,330281,余姚市,宁波市,157.6,0,0.8,0.8,4.2392,0,0,4.2392,0,0,0,0,0,0,2.38,2.38,0.97,1.41,,2.38,0.6552,0.275,0.45,0,0,0.1297,1.0437,1.1734
 ,东南诸河,浙东诸河,浙东沿海诸河,姚江,G020110,330282,慈溪市,宁波市,1361,154.4,34.5,188.9,65.47,1585.92,1277.26,2928.65,0.762,1437.098,0,1437.86,0,18.7,49.44,48.62,11.38,34.3341,,45.7141,10.07,2.3469,7.4994,0,2.2695,0.1107,41.872,41.9827
,,,,,,,,宁波市,9816,790.4999999999999,187.20000000000002,977.6999999999999,451.0582637414639,7882.7154542670505,9813.92213984994,18147.6958578585,100.332,6887.3333577698495,79.17,7066.83535776985,0,1761.41,220.71,212.48999999999998,142.2096,58.148700000000005,0,200.35829999999999,76.58699999999999,23.793899999999997,29.122899999999994,0,8.561,2.2722,153.797,156.0692
,东南诸河,钱塘江,富春江坝址以下,,,,,宁波市,106.7,0,0.6,0.6,2.246241554176626,0,0,2.246313103035034,0,0,0,0,0,0,1.35,1.35,0.284,0.192,0,0.476,0.1916,0.7,0.47,0,0,0.1524,0.6858,0.8382
,东南诸河,浙东诸河,浙东沿海诸河,,,,,宁波市,9709.3,790.4999999999999,186.60000000000002,977.0999999999999,448.8120221872873,7882.7154542670505,9813.92213984994,18145.449544755465,100.332,6887.3333577698495,79.17,7066.83535776985,0,1761.41,219.36,211.14,141.9256,57.9567,0,199.8823,76.3954,23.0939,28.652899999999995,0,8.561,2.1198,153.1112,155.231
,,,,,,,海曙区,宁波市,594.7,96.3,10.9,107.19999999999999,18.810000000000002,465.04,1266.34,1750.19,0,400.33,0,400.33,0,10.1,15.08,15.07,12.237,1.3727,0,13.6097,6.734999999999999,0.954,0.9165,0,0.2595,0.0723,2.9649,3.0372
,,,,,,,江北区,宁波市,207.6,44.9,6.9,51.8,8.75,279.23,724.96,1012.94,0,198.47,36.65,235.12,0,0,6,5.99,5.82,0.17,0,5.99,2.723,0.636,0.996,0,0.02,0.4416,1.8125,2.2541
,,,,,,,北仑区,宁波市,599,72.8,17.6,90.4,9.45,1274.93,1750.66,3035.04,32.47,1117.92,42.52,1192.91,0,665,10.35,10.120000000000001,6.847,2.623,0,9.47,1.25,0.495,1.62,0,0.0345,0.0652,4.5152,4.5804
,,,,,,,镇海区,宁波市,245.7,49.5,3.7,53.2,7.67,968.07,536.34,1512.08,11.26,881.16,0,892.42,0,268.2,5.65,5.55,2.62,2.62,0,5.24,2.612,0.06,0.585,0,0.0435,0.1234,3.8923,4.0157
,,,,,,,鄞州区,宁波市,814,144.79999999999998,26.299999999999997,171.1,33.910000000000004,844.0600000000001,2234.71,3112.6800000000003,1.81,705.25,0,707.06,0,14,19.04,19.04,18.1136,0.3671,0,18.4807,9.392,0.675,1.837,0,0.5175000000000001,0.09079999999999999,1.7372999999999998,1.8281
,,,,,,,奉化区,宁波市,1268,38.2,21,59.2,38.92,648.06,415.21000000000004,1102.19,0,578.14,0,578.14,0,0,20.1,18.59,15.905999999999999,1.6069,0,17.5129,6.685,9.45,6.75,0,0.108,0.0985,19.7517,19.8502
,,,,,,,象山县,宁波市,1382,37.4,20.5,57.9,156.39,335.49,451.11,942.99,14.32,242.79,0,257.11,0,243.75,21.09,20.28,18.062,2.14,0,20.202,8.63,1.422,3.81,0,1.7295,0.1834,27.4464,27.6298
,,,,,,,宁海县,宁波市,1843,47.3,24,71.3,57.27,505.08,505.7,1068.05,36.07,413.75,0,449.82,0,454.5,32.11,27.38,24.55,0.4609,0,25.0109,10.45,2.43,2.385,0,1.1295,0.4965,20.5787,21.0752
,,,,,,,余姚市,宁波市,1501,104.9,21.8,126.69999999999999,54.42999999999999,973.46,654.89,1682.78,3.64,908.53,0,912.17,0,87.16,41.85,41.85,26.674,12.454,0,39.128,18.040000000000003,5.325,2.724,0,2.4495,0.5898,29.226000000000003,29.815800000000003
,,,,,,,慈溪市,宁波市,1361,154.4,34.5,188.9,65.47,1585.92,1277.26,2928.65,0.762,1437.098,0,1437.86,0,18.7,49.44,48.62,11.38,34.3341,0,45.7141,10.07,2.3469,7.4994,0,2.2695,0.1107,41.872,41.9827
